,aoi,Tamb,Wind,POA,i_mp,v_mp,p_mp,Power,anomaly
2021-04-24 00:00:00-07:00,,7.8,3.8,,,,,,False
2021-04-24 00:01:00-07:00,,7.8,3.8,,,,,,False
2021-04-24 00:02:00-07:00,,7.7,3.5,,,,,,False
2021-04-24 00:03:00-07:00,,7.7,3.2,,,,,,False
2021-04-24 00:04:00-07:00,,7.7,2.8,,,,,,False
2021-04-24 00:05:00-07:00,,7.8,2.9,,,,,,False
2021-04-24 00:06:00-07:00,,7.9,3.4,,,,,,False
2021-04-24 00:07:00-07:00,,7.7,3.6,,,,,,False
2021-04-24 00:08:00-07:00,,7.6,3.5,,,,,,False
2021-04-24 00:09:00-07:00,,7.8,2.7,,,,,,False
2021-04-24 00:10:00-07:00,,8.1,2.1,,,,,,False
2021-04-24 00:11:00-07:00,,8.2,2.4,,,,,,False
2021-04-24 00:12:00-07:00,,8.3,2.8,,,,,,False
2021-04-24 00:13:00-07:00,,8.2,3.2,,,,,,False
2021-04-24 00:14:00-07:00,,8.0,3.4,,,,,,False
2021-04-24 00:15:00-07:00,,7.9,3.1,,,,,,False
2021-04-24 00:16:00-07:00,,7.8,3.1,,,,,,False
2021-04-24 00:17:00-07:00,,7.8,3.2,,,,,,False
2021-04-24 00:18:00-07:00,,7.8,3.2,,,,,,False
2021-04-24 00:19:00-07:00,,7.9,3.2,,,,,,False
2021-04-24 00:20:00-07:00,,8.0,3.3,,,,,,False
2021-04-24 00:21:00-07:00,,8.1,3.8,,,,,,False
2021-04-24 00:22:00-07:00,,8.1,3.6,,,,,,False
2021-04-24 00:23:00-07:00,,8.2,3.4,,,,,,False
2021-04-24 00:24:00-07:00,,8.4,3.5,,,,,,False
2021-04-24 00:25:00-07:00,,8.7,3.3,,,,,,False
2021-04-24 00:26:00-07:00,,9.0,3.3,,,,,,False
2021-04-24 00:27:00-07:00,,9.1,3.7,,,,,,False
2021-04-24 00:28:00-07:00,,9.1,3.6,,,,,,False
2021-04-24 00:29:00-07:00,,9.1,3.0,,,,,,False
